subject,condition,post_theta_abs,post_alpha_abs,post_beta_abs,post_alpha_dB,post_theta_dB,post_theta_rel,post_alpha_rel,occ_alpha_abs,Cz_alpha_abs,Cz_theta_abs,alpha_theta_ratio,theta_beta_ratio,post_total_abs,total_abs_global,total_abs_cz
sub-10,deprived,4.473365161715087,5.139087106875344,13.18682761117432,7.108859789840032,6.506343511672723,0.034480565838133026,0.03595465934960779,6.676992053853423,1.515932758428154,2.371476288801966,1.1488190480977902,0.3392298203644085,22.79927987976475,160.24922650586862,14.04427629580568
sub-11,rested,5.486557220308926,28.050083027254875,15.924282921813164,14.479341510904074,7.3929991289596035,0.07025065015762816,0.32554415368172357,22.978134152241136,3.5487760412414326,1.7366593322715047,5.112510797012245,0.3445403003229371,49.46092316937697,64.63760966692192,16.16349711742484
sub-11,deprived,5.373046320529225,14.747182539030957,11.089964591992892,11.687090559324865,7.302205845968959,0.07436819806391405,0.20123565580675182,13.931732261916402,3.319621292142437,2.317061730902701,2.744659483519661,0.48449625568765464,31.210193451553074,74.5941344941978,19.609325945047285
sub-12,rested,2.1556551049059527,4.086689551218245,1.2913268430540814,6.113716474219453,3.3357927691447555,0.07641265658609853,0.14159108693427536,4.722747737188389,1.5878929496783751,1.0356865017845054,1.8957993520937293,1.6693334584509003,7.533671499178279,45.8474341530183,7.6139849577273155
sub-12,deprived,3.0053571136597568,9.665552193235078,2.1007163690837634,9.852266703277902,4.778960847504032,0.057395038884061285,0.1823886228360585,12.69780646314357,2.8091592924124362,1.935471729706072,3.2161077128916986,1.4306344054293043,14.771625675978598,81.04611491098069,11.11117165434286
sub-13,rested,2.648443402092945,3.4947907454447646,3.1105947929832,5.434211769860458,4.229906963875835,0.14430956286855132,0.190454843025782,3.84001461411947,1.9627856093005158,2.4538440828089736,1.3195640664561643,0.8514266815038835,9.25382894052091,30.998664845770517,13.09965279308602
sub-13,deprived,3.950145606562805,4.168554101896518,3.34632495837331,6.199854423936011,5.9661310447741345,0.08851465224119086,0.09157271145779668,5.150828788993509,1.8353290896833774,2.9281496182815916,1.0552912517885031,1.1804429204278533,11.465024666832633,74.90176232693355,19.842725558427478
sub-14,rested,3.2074160175636917,2.241826723835415,3.4498924751900604,3.5060204189397326,5.061552937028775,0.11593828851945383,0.08788119083756485,2.5189519134189515,0.7084029674524043,1.3062079032443714,0.6989510283540565,0.9297147782517453,8.899135216589167,28.758225600077463,7.182837990993439
sub-14,deprived,4.934227034321726,3.0005938878760583,4.295014577456574,4.772072202867722,6.932191284299031,0.1335477902868496,0.08057417686517074,3.8759472519253015,2.0482450720636782,7.726374656826502,0.6081183267418357,1.1488266093950446,12.229835499654358,42.41494618135276,29.84386080295774
sub-15,rested,5.207735646889602,31.102739634219635,5.578879683209244,14.927986448345973,7.16648930627154,0.08386332436050227,0.4635583738536143,43.733142272326276,5.414410896637039,3.904976368161182,5.972411378599106,0.933473375051146,41.88935496431848,53.4462307008531,25.24012210845569
sub-15,deprived,5.942306702936247,21.232228142135078,5.531302806855017,13.269955720773513,7.739550634816635,0.08686587700455639,0.29529329499388945,27.040419578138927,5.039730143475717,5.690065730479073,3.5730616414739558,1.0743050797312828,32.705837651926345,67.48757771458214,25.06054088123462
sub-16,rested,4.30593473949599,7.420763128117579,8.162843732483921,8.704485690645589,6.340674433946784,0.11182987706837502,0.19284137326208692,6.626398081468801,3.7460536223458254,3.1330902607345763,1.7233803058023538,0.5275042473691594,19.88954160009749,44.14235138940693,18.478763638738783
sub-16,deprived,4.744985524364314,6.292363339982575,6.77517548732424,7.98813792144761,6.7623489185324,0.11638893508035192,0.15384166156822277,7.008423880985906,2.2706375045209657,4.4991337375984015,1.326108016067249,0.7003487265004084,17.81252435167113,54.40807270202624,20.166348750273237
sub-17,rested,8.563877224391565,4.994968798945065,2.648384172396639,6.985327797515288,9.326704324253585,0.08675492625118121,0.055664997342074585,4.408498622009702,3.7368272321491944,4.849098160660277,0.5832602065707383,3.2336234726254753,16.207230195733267,138.54780934055108,24.560478021463112
sub-17,deprived,8.196595481559964,7.536887073368554,2.9992528159976497,8.771920082026233,9.1363350231105,0.08119419421690782,0.08501498535417734,6.432542230576976,5.6110572391800515,5.232959632498418,0.9195143386451645,2.732879148379997,18.732735370926168,139.54690602294457,29.10458939041068
sub-18,rested,5.7838379199590095,32.55893674621029,11.678701384618003,15.126702140060635,7.622161142564446,0.06100088433536152,0.2976324078938129,46.54344703507114,10.171074668272107,2.4846782055198804,5.6292961865088085,0.4952466656589826,50.02147605078731,98.58779708615299,24.385775194295515
sub-18,deprived,5.709076119257885,36.45769523191807,9.172463538258711,15.617892101308568,7.565658335047179,0.05872405908713267,0.3112645012825095,54.09324631658215,13.079760948760184,2.9698569775746675,6.385918574274879,0.622414697583163,51.33923488943467,109.74367661955358,30.388293148264015
sub-19,rested,3.9345349460822603,24.187819738048603,8.933688216249434,13.835967233263917,5.948934070162952,0.07439190942352365,0.44421432100978,19.949764117590185,9.705847282644683,2.227961851442828,6.147567646370296,0.44041552053783983,37.0560429003803,48.98317833249444,23.021259659852568
sub-19,deprived,9.271474559044256,21.46273089377709,13.99872324983325,13.316849802879672,9.67148810943699,0.12001918134288554,0.26456405211137524,21.495010926567403,12.922973785978465,5.593690064909712,2.314920971534172,0.6623085829741434,44.73292870265459,72.80053840263344,39.06339424322296
sub-20,rested,4.164505912765686,32.71567856612485,9.946468498278785,15.147559325655262,6.195634830325903,0.0567463265196943,0.4183567588395376,41.98423399910113,8.277434369101005,4.357080631063463,7.855836743043083,0.4186919119571278,46.82665297716932,64.16957989470144,30.362153994153754
sub-20,deprived,7.57459351292956,9.025818814726454,9.71036969781442,9.55486611196725,8.793593315864337,0.12983044762866405,0.15826088039388847,10.602524470250035,3.8006231294835056,7.246174322906228,1.191591179027588,0.780052021565608,26.310782025470438,71.1832362574183,43.43098975286416
sub-21,rested,1.7049039767080483,1.9146579402361714,4.484316305040389,2.8209119713649273,2.316999237624263,0.09714526153952435,0.10739724553198043,2.0174053964072804,1.039879625587091,1.3264564625368587,1.1230297813799057,0.3801926226282766,8.103878221984608,25.4259047493451,9.300073097198853
sub-21,deprived,7.816067744699706,3.8128905110079065,6.054152026955108,5.812543344769735,8.929883149151381,0.16932742431870548,0.08809214558448664,4.380451373605516,1.7138277909295565,4.25175428093638,0.487827208712915,1.2910260115537173,17.68311028266272,52.87165981340875,23.466295245116143
sub-22,rested,3.1704784122197722,1.8076500690235298,3.4549462953476007,2.5711436209016862,5.011248004229179,0.12487901666097528,0.0708896484204601,2.1551379129787986,0.7416885158604645,2.0897905722748713,0.5701505684619771,0.9176635875611466,8.433074776590903,33.87581149297635,10.663635110880474
sub-22,deprived,3.2610774193036365,2.0366247556714963,4.027201822575899,3.0891101841918522,5.133611092558956,0.1085227958175328,0.06474485500582172,2.5068456480030568,0.9426467926375854,2.133413961366092,0.6245251166427054,0.809762600181227,9.324903997551031,35.39446320060812,11.787087928184734
sub-23,rested,2.093641068173873,4.704002823873821,3.404547987982495,6.724675737807627,3.2090222869294625,0.09660145121198316,0.2073504175500057,5.656936108381411,2.3084075513343496,2.1793541398511533,2.246804810710353,0.6149541952600135,10.202191880030188,22.65367492933394,16.229783156135838
